Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2009-03-31,24676.3096287,14897.4214983,39573.7311269,32017.4723787,19150.0964944,5757.33538771,13392.7611067
2009-04-30,24631.405716,14833.1420439,39464.5477599,31871.0679034,19060.1292067,5719.59395715,13340.5352495
2009-05-31,24604.7281351,14779.6891058,39384.4172408,31786.3598333,18972.4672659,5702.41480668,13270.0524592
2009-06-30,24600.7657275,14727.2041462,39327.9698737,31717.6250568,18898.3007096,5683.28705273,13215.0136568
2009-07-31,24618.226509,14704.0018109,39322.2283199,31703.3214114,18893.3508988,5684.95311315,13208.3977856
2009-08-31,24622.0877979,14680.7804954,39302.8682933,31709.4101502,18766.2993065,5684.42565985,13081.8736466
2009-09-30,24630.0209606,14655.3524564,39285.3734171,31707.929442,18729.0452109,5670.57447663,13058.4707343
2009-10-31,24631.1439653,14637.7062914,39268.8502566,31701.5664654,18698.481738,5658.85320537,13039.6285326
2009-11-30,24631.5102033,14618.7199452,39250.2301485,31679.2474367,18703.0619048,5652.47286608,13050.5890387
2009-12-31,24627.0938336,14585.0746888,39212.1685223,31624.9799106,18746.927287,5664.11630887,13082.8109781
2010-01-31,24630.2157803,14598.5871491,39228.8029294,31675.0429031,18769.9951275,5671.52641225,13098.4687153
2010-02-28,24618.2503937,14584.7544859,39203.0048797,31721.5917758,18758.0138645,5682.79297191,13075.2208926
2010-03-31,24617.1602843,14572.6515381,39189.8118224,31741.1788247,18776.5093529,5683.52006128,13092.9892916
2010-04-30,24615.932516,14587.2588907,39203.1914068,31794.4293278,18847.3023455,5689.93992662,13157.3624188
2010-05-31,24612.2116441,14596.8779952,39209.0896393,31825.6121226,18923.7021581,5688.03868877,13235.6634693
2010-06-30,24602.9055681,14604.634666,39207.5402341,31850.2924085,18999.0170374,5696.5912888,13302.4257486
2010-07-31,24593.1491004,14614.2566858,39207.4057863,31872.3838435,19082.4819002,5700.03052915,13382.4513711
2010-08-31,24585.2895635,14620.6283444,39205.9179079,31894.2027066,19149.4641155,5706.52747079,13442.9366447
2010-09-30,24588.3497267,14645.3878414,39233.7375681,31936.6652977,19228.7018143,5709.81761083,13518.8842034
2010-10-31,24655.4290167,14699.8275383,39355.256555,32126.0217356,19068.8425894,5744.08971137,13324.7528781
2010-11-30,24649.6187943,14697.9559732,39347.5747675,32150.1094618,19173.6729907,5752.32084714,13421.3521436
2010-12-31,24660.1113766,14722.0498936,39382.1612702,32243.4576152,19144.6080046,5763.54356242,13381.0644422
2011-01-31,24666.5100211,14731.2994428,39397.8094639,32254.3303525,19242.1269036,5760.35988356,13481.7670201
2011-02-28,24691.4628302,14761.4961313,39452.9589615,32298.9506221,19291.0984564,5753.54126617,13537.5571902
2011-03-31,24727.2116534,14790.4110178,39517.6226712,32354.7904327,19324.8868962,5755.15087712,13569.736019
2011-04-30,24825.8653297,14851.6579637,39677.5232935,32460.8729745,19352.796822,5773.18748746,13579.6093346
2011-05-31,24878.4940377,14865.7556634,39744.2497012,32536.4873215,19353.2967474,5780.14041411,13573.1563333
2011-06-30,24936.4666223,14903.0114193,39839.4780416,32586.5399588,19398.8918696,5781.24861217,13617.6432574
2011-07-31,25002.7068748,14928.9937062,39931.700581,32633.6083375,19410.7041714,5779.83847284,13630.8656986
2011-08-31,25059.5106114,14962.6571926,40022.167804,32661.9783213,19450.6494747,5777.28617681,13673.3632978
2011-09-30,25102.1747207,14983.6790726,40085.8537933,32704.1279767,19504.1393,5777.54442979,13726.5948703
2011-10-31,25150.4740688,15015.9236594,40166.3977282,32745.7908062,19537.0717456,5779.25679149,13757.8149541
2011-11-30,25199.3379127,15047.2168566,40246.5547693,32787.8744733,19575.0436774,5796.57592103,13778.4677563
2011-12-31,25257.2402022,15090.1386282,40347.3788304,32849.0121489,19603.6338107,5794.47226329,13809.1615474
2012-01-31,25336.1677681,15128.295395,40464.463163,32906.8975567,19623.2259103,5804.08597745,13819.1399329
2012-02-29,25415.6516638,15178.929908,40594.5815718,32996.5067042,19638.3738239,5795.41550441,13842.9583195
2012-03-31,25477.1374636,15221.341505,40698.4789687,33067.2483407,19676.8726906,5796.90467851,13879.9680121
2012-04-30,25502.4199636,15245.8643978,40748.2843614,33101.1494057,19710.5626429,5806.27821896,13904.2844239
2012-05-31,25533.4743684,15271.6260039,40805.1003723,33142.6574081,19752.2532096,5818.60756265,13933.6456469
2012-06-30,25552.0005725,15289.4711125,40841.4716849,33151.2341081,19731.350207,5816.07469479,13915.2755122
2012-07-31,25585.1935122,15324.9734876,40910.1669998,33213.1253097,19744.3991404,5820.47863353,13923.9205069
2012-08-31,25623.7718645,15360.0351323,40983.8069968,33255.5749477,19776.4026255,5829.50047371,13946.9021518
2012-09-30,25653.5871595,15395.6522533,41049.2394127,33318.3631338,19805.9763335,5836.8294964,13969.1468371
2012-10-31,25706.4632381,15435.475388,41141.9386261,33382.5690482,19871.8626458,5849.99527938,14021.8673664
2012-11-30,25724.6604931,15443.9986207,41168.6591138,33414.5639715,19933.2950347,5849.77341809,14083.5216166
2012-12-31,25779.0673806,15487.3212957,41266.3886763,33503.1095154,19904.2150583,5863.92984137,14040.2852169
2013-01-31,25836.1500424,15536.5328597,41372.6829022,33570.4996285,19919.4786494,5833.22596542,14086.252684
2013-02-28,25869.8532145,15563.5000345,41433.353249,33626.2871139,19947.9292371,5844.4338465,14103.4953906
2013-03-31,25910.5207455,15588.0348122,41498.5555577,33674.5273924,19988.8170499,5858.36651297,14130.4505369
2013-04-30,25940.1336696,15612.9098707,41553.0435404,33726.6215296,20012.9868301,5868.42765065,14144.5591794
2013-05-31,25982.873264,15652.7415901,41635.6148541,33807.4934431,20040.2777528,5892.99503391,14147.2827189
2013-06-30,26034.0680498,15688.1059345,41722.1739843,33896.8898117,20053.6357939,5910.96421488,14142.6715791
2013-07-31,26066.4739077,15714.7232312,41781.1971389,33972.9816841,20088.0354871,5930.2278067,14157.8076804
2013-08-31,26097.691757,15748.3793775,41846.0711345,34057.1232999,20090.8786256,5945.02735716,14145.8512684
2013-09-30,26140.260218,15782.7675392,41923.0277572,34114.3417775,20137.7362253,5952.34047585,14185.3957495
2013-10-31,26169.2205217,15802.8777225,41972.0982441,34150.9830987,20197.0102671,5961.62167703,14235.3885901
2013-11-30,26188.889061,15842.7937409,42031.6828019,34214.6977342,20219.5705838,5966.39602545,14253.1745584
2013-12-31,26163.0400848,15855.9443486,42018.9844334,34315.7743313,20281.4344353,6005.95859741,14275.4758379
2014-01-31,26212.4149323,15905.6421629,42118.0570951,34417.0689594,20250.9992755,6015.2214453,14235.7778302
2014-02-28,26231.2467321,15938.4821136,42169.7288457,34492.8219494,20258.4681049,6025.13686434,14233.3312406
2014-03-31,26249.178794,15969.9820126,42219.1608067,34556.5529687,20331.5862247,6046.52947296,14285.0567517
2014-04-30,26294.8307607,16011.9817863,42306.812547,34660.2840199,20410.4922331,6070.33372722,14340.1585059
2014-05-31,26322.8837887,16047.8145232,42370.6983119,34725.8137123,20487.2404858,6073.28838139,14413.9521044
2014-06-30,26344.4058944,16083.430439,42427.8363334,34792.144014,20559.1977727,6075.80125503,14483.3965176
2014-07-31,26365.7507743,16126.1745331,42491.9253074,34875.6477777,20610.6110449,6081.77393843,14528.8371064
2014-08-31,26365.7679311,16153.3271812,42519.0951123,34924.0185357,20648.811442,6074.88618354,14573.9252584
2014-09-30,26416.3736926,16202.2335167,42618.6072093,35010.2234531,20668.8408276,6086.75016521,14582.0906624
2014-10-31,26434.632405,16238.7175497,42673.3499547,35104.5767636,20682.6243917,6102.37024724,14580.2541445
2014-11-30,26465.4601097,16278.6228881,42744.0829978,35178.286398,20743.9394042,6108.40031027,14635.5390939
