Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1887-02-28,5.54,0.225,0.335,8.087381157,3.5325,168.56147231543,6.8459081716556,10.192796611132,17.125366596972
1887-03-31,5.67,0.2275,0.3375,8.087381157,3.545,172.51688592572,6.9219738180074,10.268862257483,17.473213711514
1887-04-30,5.8,0.23,0.34,8.087381157,3.5575,176.47229953601,6.9980394643591,10.344927903835,17.822983639101
1887-05-31,5.9,0.2325,0.3425,8.087381157,3.57,179.51492539008,7.0741051107108,10.420993550187,18.075445427458
1887-06-30,5.73,0.235,0.345,7.992232066,3.5825,176.41804265147,7.2352949429484,10.622028746031,17.707695663273
1887-07-31,5.59,0.2375,0.3475,7.897091074,3.595,174.18113829644,7.4003614213605,10.82789723757,17.431460535613
1887-08-31,5.45,0.24,0.35,7.992232066,3.6075,167.79726569817,7.3892373885431,10.775971191625,16.739849614821
1887-09-30,5.38,0.2425,0.3525,7.897091074,3.62,167.63766082913,7.5561585039155,10.983694320125,16.67662966738
1887-10-31,5.2,0.245,0.355,7.992232066,3.6325,160.10014341843,7.5431798341377,10.92991363722,15.880666812517
1887-11-30,5.3,0.2475,0.3575,8.087381157,3.645,161.25917026567,7.5304989888212,10.877387428297,15.950712201067
1887-12-31,5.27,0.25,0.36,8.277679339,3.6575,156.66012893134,7.4316949208414,10.701640686012,15.45551345447
1888-01-31,5.31,0.2483,0.3517,8.372844628,3.67,156.05509483963,7.2972655458906,10.336078503785,15.35866251426
1888-02-29,5.28,0.2467,0.3433,8.277679339,3.6516666666667,156.95739672817,7.3335965478863,10.205203465299,15.418178318821
1888-03-31,5.08,0.245,0.335,8.277679339,3.6333333333333,151.0120407915,7.2830610224246,9.9584711939275,14.808972366947
1888-04-30,5.1,0.2433,0.3267,8.18251405,3.615,153.36980997912,7.316642111357,9.824689592192,15.020108681844
1888-05-31,5.17,0.2417,0.3183,8.087381157,3.5966666666667,157.30375665538,7.3540266892852,9.6846780935022,15.387916957229
1888-06-30,5.01,0.24,0.31,7.992232066,3.5783333333333,154.25033048584,7.3892373885431,9.5444316268681,15.077628818435
1888-07-31,5.14,0.2383,0.3017,8.087381157,3.56,156.39096889916,7.2505774102468,9.1796022017267,15.279642515498
1888-08-31,5.25,0.2367,0.2933,8.087381157,3.5416666666667,159.73785733863,7.2018953965817,8.9240216299849,15.602911670089
1888-09-30,5.38,0.235,0.285,8.087381157,3.5233333333333,163.69327094892,7.1501707570625,8.6714836840971,15.987828821761
1888-10-31,5.35,0.2333,0.2767,8.18251405,3.505,160.88793791928,7.0159169937508,8.3210640041614,15.71594187433
1888-11-30,5.24,0.2317,0.2683,8.277679339,3.4866666666667,155.76832554084,6.8876948526358,7.975694989047,15.223749016946
1888-12-31,5.14,0.23,0.26,8.277679339,3.4683333333333,152.7956475725,6.8371593271741,7.728962717675,14.946748301089
1889-01-31,5.24,0.2292,0.2633,7.992232066,3.45,161.33168298319,7.0567217060586,8.1066091850141,15.802286071028
1889-02-28,5.3,0.2283,0.2667,7.897091074,3.4475,165.14490750826,7.1136947894594,8.3102163834815,16.192720447849
1889-03-31,5.19,0.2275,0.27,7.801941983,3.445,163.68960641885,7.1752187784758,8.5156442645646,16.065045360769
1889-04-30,5.18,0.2267,0.2733,7.801941983,3.4425,163.37421218683,7.1499872399141,8.6197243611315,16.050104533967
1889-05-31,5.32,0.2258,0.2767,7.611651901,3.44,171.98444792621,7.2996406657404,8.9451309663878,16.915421076068
1889-06-30,5.41,0.225,0.28,7.611651901,3.4375,174.89395926331,7.273778342744,9.0518130487481,17.219302943948
1889-07-31,5.3,0.2242,0.2833,7.611651901,3.435,171.3378898513,7.2479160197476,9.1584951311083,16.889214491108
1889-08-31,5.37,0.2233,0.2867,7.611651901,3.4325,173.60084311349,7.2188209063766,9.2684100038431,17.131853975346
1889-09-30,5.5,0.2225,0.29,7.706792893,3.43,175.60847213492,7.1041609181855,9.2593558034777,17.350788026349
1889-10-31,5.4,0.2217,0.2933,7.706792893,3.4275,172.41559082338,7.0786178676931,9.3647208867586,17.053214402955
1889-11-30,5.35,0.2208,0.2967,7.706792893,3.425,170.81915016761,7.0498819358892,9.4732788513511,16.906021170249
1889-12-31,5.32,0.22,0.3,7.801941983,3.4225,167.78973143513,6.9386731044601,9.4618269606274,16.610338076603
1890-01-31,5.38,0.22,0.2992,7.611651901,3.42,173.92412215095,7.1121388240164,9.6725088006622,17.220071982182
1890-02-28,5.32,0.22,0.2983,7.611651901,3.4366666666667,171.98444792621,7.1121388240164,9.6434136872913,17.026814982671
1890-03-31,5.28,0.22,0.2975,7.611651901,3.4533333333333,170.69133177639,7.1121388240164,9.6175513642948,16.90112228859
1890-04-30,5.39,0.22,0.2967,7.611651901,3.47,174.2474011884,7.1121388240164,9.5916890412984,17.257854542603
1890-05-31,5.62,0.22,0.2958,7.706792893,3.4866666666667,179.43992970877,7.0243388853969,9.4445429195472,17.786430487859
1890-06-30,5.58,0.22,0.295,7.706792893,3.5033333333333,178.16277718416,7.0243388853969,9.4189998690549,17.68436084445
1890-07-31,5.54,0.22,0.2942,7.706792893,3.52,176.88562465954,7.0243388853969,9.3934568185625,17.589295440865
1890-08-31,5.41,0.22,0.2933,7.992232066,3.5366666666667,166.56572613341,6.7734676061645,9.030263858582,16.596791133979
1890-09-30,5.32,0.22,0.2925,8.087381157,3.5533333333333,161.86769543648,6.6937768789522,8.8996806231523,16.169702000615
1890-10-31,5.08,0.22,0.2917,8.087381157,3.57,154.56539338671,6.6937768789522,8.8753396163198,15.482849163344
1890-11-30,4.71,0.22,0.2908,7.897091074,3.5866666666667,146.76085176677,6.8550716324182,9.0611583213964,14.745043493293
1890-12-31,4.6,0.22,0.29,7.897091074,3.6033333333333,143.33331595056,6.8550716324182,9.0362307881876,14.442991231338
1891-01-31,4.84,0.22,0.2942,7.801941983,3.62,152.65080829812,6.9386731044601,9.2788983060552,15.428980086469
1891-02-28,4.9,0.22,0.2983,7.897091074,3.6183333333333,152.68114090386,6.8550716324182,9.2948539452288,15.476522332433
1891-03-31,4.81,0.22,0.3025,7.992232066,3.6166666666667,148.09263266205,6.7734676061645,9.3135179584762,15.051623357657
