Date,Gross domestic product,Personal consumption expenditures,:Goods,::Durable goods,::Nondurable goods,:Services,Gross private domestic investment,:Fixed investment,::Nonresidential,:::Structures,:::Equipment,:::Intellectual property products,::Residential,:Change in private inventories,Net exports of goods and services,:Exports,::Goods,::Services,:Imports,::Goods,::Services,Government consumption expenditures and gross investment,:Federal,::National defense,::Nondefense,:State and local
1954-03-31,385924.0,235447.0,134173.0,32911.0,101262.0,101274.0,55712.0,57678.0,38327.0,13920.0,20570.0,3837.0,19351.0,-1966.0,-356.0,14424.0,11588.0,2836.0,14780.0,9976.0,4804.0,95121.0,66764.0,57360.0,9404.0,28357.0
1954-06-30,386716.0,238193.0,134969.0,33645.0,101324.0,103224.0,55446.0,58824.0,38156.0,13877.0,20424.0,3855.0,20668.0,-3378.0,254.0,16438.0,13620.0,2818.0,16184.0,11048.0,5136.0,92823.0,63708.0,55248.0,8460.0,29115.0
1954-09-30,391596.0,240629.0,135430.0,33233.0,102197.0,105199.0,58967.0,61058.0,38875.0,13852.0,21131.0,3892.0,22183.0,-2091.0,574.0,15878.0,12900.0,2978.0,15304.0,10224.0,5080.0,91426.0,61336.0,53236.0,8100.0,30090.0
1954-12-31,400348.0,245435.0,138495.0,35064.0,103431.0,106940.0,62138.0,62454.0,38889.0,13811.0,21123.0,3955.0,23565.0,-316.0,1145.0,16605.0,13608.0,2997.0,15460.0,10164.0,5296.0,91630.0,61216.0,52044.0,9172.0,30414.0
1955-03-31,413753.0,251764.0,142939.0,38437.0,104502.0,108825.0,68720.0,64916.0,39497.0,14274.0,21144.0,4079.0,25419.0,3804.0,1104.0,17273.0,14180.0,3093.0,16169.0,11104.0,5065.0,92165.0,60712.0,52372.0,8340.0,31453.0
1955-06-30,422226.0,256848.0,146831.0,40708.0,106123.0,110017.0,72685.0,68065.0,42060.0,14744.0,23119.0,4197.0,26005.0,4620.0,-155.0,16942.0,13800.0,3142.0,17097.0,11232.0,5865.0,92848.0,60860.0,51900.0,8960.0,31988.0
1955-09-30,430925.0,261049.0,149363.0,42421.0,106942.0,111686.0,74746.0,70451.0,44825.0,15438.0,25010.0,4377.0,25626.0,4295.0,724.0,18145.0,14780.0,3365.0,17421.0,11296.0,6125.0,94406.0,61928.0,53104.0,8824.0,32478.0
1955-12-31,437787.0,265053.0,150460.0,41413.0,109047.0,114593.0,78881.0,71648.0,47083.0,16172.0,26280.0,4631.0,24565.0,7233.0,240.0,18349.0,14936.0,3413.0,18109.0,12476.0,5633.0,93613.0,60540.0,52164.0,8376.0,33073.0
1956-03-31,440491.0,266584.0,150215.0,39673.0,110542.0,116369.0,78303.0,71905.0,47773.0,17415.0,25442.0,4916.0,24132.0,6398.0,440.0,19365.0,15900.0,3465.0,18925.0,13020.0,5905.0,95164.0,60984.0,52784.0,8200.0,34180.0
1956-06-30,446771.0,269274.0,151111.0,39819.0,111292.0,118163.0,77018.0,73433.0,49059.0,17982.0,25920.0,5157.0,24374.0,3585.0,1909.0,20882.0,17196.0,3686.0,18973.0,12692.0,6281.0,98570.0,63508.0,54968.0,8540.0,35062.0
1956-09-30,451983.0,272521.0,152116.0,39685.0,112431.0,120405.0,78264.0,74695.0,50743.0,18590.0,26822.0,5331.0,23952.0,3569.0,2569.0,21822.0,18052.0,3770.0,19253.0,12620.0,6633.0,98629.0,62796.0,55116.0,7680.0,35833.0
1956-12-31,461278.0,277896.0,155173.0,41497.0,113676.0,122723.0,77146.0,74902.0,51411.0,18733.0,27188.0,5490.0,23491.0,2244.0,4527.0,23068.0,19076.0,3992.0,18541.0,12880.0,5661.0,101709.0,65160.0,57060.0,8100.0,36549.0
1957-03-31,470578.0,282333.0,158013.0,42598.0,115415.0,124320.0,77728.0,75566.0,52465.0,18770.0,28203.0,5492.0,23101.0,2162.0,4819.0,24919.0,20640.0,4279.0,20100.0,13188.0,6912.0,105698.0,67884.0,58856.0,9028.0,37814.0
1957-06-30,472835.0,284619.0,158648.0,42169.0,116479.0,125971.0,77906.0,75249.0,52639.0,18992.0,28112.0,5535.0,22610.0,2657.0,4099.0,24369.0,20084.0,4285.0,20270.0,13376.0,6894.0,106211.0,67516.0,59664.0,7852.0,38695.0
1957-09-30,480315.0,289189.0,161228.0,41874.0,119354.0,127961.0,79337.0,76529.0,54065.0,19096.0,29334.0,5635.0,22464.0,2808.0,3997.0,23759.0,19416.0,4343.0,19762.0,13060.0,6702.0,107792.0,68356.0,60688.0,7668.0,39436.0
1957-12-31,475681.0,290802.0,160519.0,41466.0,119053.0,130283.0,71046.0,75564.0,53215.0,18942.0,28595.0,5678.0,22349.0,-4518.0,3388.0,23022.0,18108.0,4914.0,19634.0,13540.0,6094.0,110445.0,70036.0,60648.0,9388.0,40409.0
1958-03-31,468353.0,290331.0,159258.0,39396.0,119862.0,131073.0,66731.0,70740.0,49370.0,18084.0,25526.0,5760.0,21370.0,-4009.0,1079.0,20534.0,16560.0,3974.0,19455.0,12580.0,6875.0,110212.0,68708.0,60840.0,7868.0,41504.0
1958-06-30,472786.0,293248.0,159819.0,38635.0,121184.0,133429.0,65062.0,69297.0,47828.0,17594.0,24365.0,5869.0,21469.0,-4235.0,471.0,20546.0,16328.0,4218.0,20075.0,12668.0,7407.0,114005.0,71512.0,61976.0,9536.0,42493.0
1958-09-30,486653.0,298308.0,162423.0,39396.0,123027.0,135885.0,71998.0,70451.0,47434.0,17259.0,24136.0,6039.0,23017.0,1547.0,856.0,20595.0,16448.0,4147.0,19739.0,12780.0,6959.0,115491.0,71860.0,62644.0,9216.0,43631.0
1958-12-31,500380.0,302222.0,164772.0,40693.0,124079.0,137450.0,80002.0,74767.0,49333.0,17579.0,25482.0,6272.0,25434.0,5235.0,-260.0,20563.0,16320.0,4243.0,20823.0,13780.0,7043.0,118416.0,73896.0,63448.0,10448.0,44520.0
1959-03-31,511063.0,309867.0,169723.0,43649.0,126074.0,140144.0,83165.0,79289.0,50941.0,17397.0,27077.0,6467.0,28348.0,3876.0,405.0,21801.0,15552.0,6249.0,21396.0,14484.0,6912.0,117626.0,72348.0,61136.0,11212.0,45278.0
1959-06-30,524241.0,315885.0,172618.0,45464.0,127154.0,143267.0,89380.0,82092.0,52734.0,18037.0,28059.0,6638.0,29358.0,7288.0,12.0,22556.0,15908.0,6648.0,22544.0,15532.0,7012.0,118964.0,73556.0,60284.0,13272.0,45408.0
1959-09-30,525196.0,321086.0,174526.0,46336.0,128190.0,146560.0,83606.0,83222.0,54421.0,18644.0,29118.0,6659.0,28801.0,384.0,598.0,23466.0,17504.0,5962.0,22868.0,15796.0,7072.0,119906.0,74492.0,61392.0,13100.0,45414.0
1959-12-31,529322.0,323194.0,173564.0,44103.0,129461.0,149630.0,86525.0,82405.0,54399.0,18519.0,29127.0,6753.0,28006.0,4120.0,574.0,23078.0,16868.0,6210.0,22504.0,15428.0,7076.0,119029.0,73796.0,60948.0,12848.0,45233.0
1960-03-31,543347.0,326727.0,175059.0,45456.0,129603.0,151668.0,96473.0,85273.0,56319.0,19360.0,30089.0,6870.0,28954.0,11200.0,2717.0,26005.0,19540.0,6465.0,23288.0,15700.0,7588.0,117430.0,70948.0,60032.0,10916.0,46482.0
1960-06-30,542697.0,332591.0,178398.0,46434.0,131964.0,154193.0,87094.0,83870.0,57186.0,19473.0,30749.0,6964.0,26684.0,3224.0,4159.0,27614.0,20464.0,7150.0,23455.0,15888.0,7567.0,118853.0,71008.0,59508.0,11500.0,47845.0
1960-09-30,546012.0,332534.0,177504.0,45925.0,131579.0,155030.0,86373.0,82053.0,56161.0,19418.0,29471.0,7272.0,25892.0,4320.0,4165.0,27044.0,20928.0,6116.0,22879.0,15056.0,7823.0,122940.0,74132.0,61960.0,12172.0,48808.0
1960-12-31,541063.0,334454.0,177103.0,44689.0,132414.0,157351.0,75963.0,81775.0,55882.0,20022.0,28407.0,7453.0,25893.0,-5812.0,5774.0,27516.0,20880.0,6636.0,21742.0,14236.0,7506.0,124872.0,75276.0,62096.0,13180.0,49596.0
1961-03-31,545949.0,334981.0,175643.0,42241.0,133402.0,159338.0,78377.0,80925.0,55011.0,19929.0,27408.0,7674.0,25914.0,-2548.0,5797.0,27455.0,21200.0,6255.0,21658.0,14064.0,7594.0,126794.0,75264.0,63404.0,11860.0,51530.0
1961-06-30,557430.0,339939.0,177565.0,43320.0,134245.0,162374.0,84108.0,82316.0,56198.0,19634.0,28635.0,7929.0,26118.0,1792.0,5533.0,27432.0,20052.0,7380.0,21899.0,14256.0,7643.0,127850.0,76156.0,63356.0,12800.0,51694.0
1961-09-30,568228.0,342839.0,179178.0,44581.0,134597.0,163661.0,90914.0,84258.0,56708.0,19665.0,28944.0,8099.0,27550.0,6656.0,3909.0,27235.0,20996.0,6239.0,23326.0,15760.0,7566.0,130566.0,78092.0,64956.0,13136.0,52474.0
1961-12-31,581624.0,350109.0,182848.0,46683.0,136165.0,167261.0,92931.0,86935.0,58473.0,19632.0,30628.0,8213.0,28462.0,5996.0,4416.0,28286.0,21540.0,6746.0,23870.0,16132.0,7738.0,134168.0,79904.0,66448.0,13456.0,54264.0
1962-03-31,595176.0,355384.0,185535.0,47702.0,137833.0,169849.0,98075.0,88667.0,59657.0,20030.0,31401.0,8226.0,29010.0,9408.0,3950.0,28264.0,21192.0,7072.0,24314.0,16440.0,7874.0,137767.0,83316.0,69184.0,14132.0,54451.0
1962-06-30,602580.0,361016.0,187793.0,49047.0,138746.0,173223.0,96704.0,91260.0,61354.0,20828.0,32197.0,8329.0,29906.0,5444.0,5800.0,30684.0,22256.0,8428.0,24884.0,16920.0,7964.0,139060.0,84088.0,68912.0,15176.0,54972.0
1962-09-30,609575.0,364878.0,189528.0,49567.0,139961.0,175350.0,98160.0,91972.0,62101.0,21355.0,32321.0,8425.0,29871.0,6188.0,3839.0,28950.0,22264.0,6686.0,25111.0,17084.0,8027.0,142698.0,87000.0,70444.0,16556.0,55698.0
1962-12-31,613132.0,371149.0,193023.0,51546.0,141477.0,178126.0,94970.0,91606.0,61821.0,20900.0,32304.0,8617.0,29785.0,3364.0,2814.0,28364.0,21122.0,7242.0,25550.0,17032.0,8518.0,144199.0,87564.0,70276.0,17288.0,56635.0
1963-03-31,622679.0,374718.0,195046.0,52589.0,142457.0,179672.0,99686.0,92818.0,61970.0,20233.0,32872.0,8865.0,30848.0,6868.0,3883.0,29068.0,21290.0,7778.0,25185.0,16916.0,8269.0,144392.0,86168.0,69368.0,16800.0,58224.0
1963-06-30,631835.0,378851.0,196687.0,53882.0,142805.0,182164.0,101648.0,96812.0,63882.0,21233.0,33467.0,9182.0,32930.0,4836.0,6533.0,32423.0,23448.0,8975.0,25890.0,17568.0,8322.0,144803.0,85720.0,68872.0,16848.0,59083.0
1963-09-30,644960.0,385841.0,199869.0,54701.0,145168.0,185972.0,104607.0,98891.0,65707.0,21436.0,34894.0,9377.0,33184.0,5716.0,3915.0,30619.0,23764.0,6855.0,26704.0,18152.0,8552.0,150597.0,89816.0,70828.0,18988.0,60781.0
1963-12-31,654840.0,390504.0,201017.0,55739.0,145278.0,189487.0,107188.0,102124.0,67668.0,21891.0,36238.0,9539.0,34456.0,5064.0,5423.0,32187.0,24878.0,7309.0,26764.0,18216.0,8548.0,151725.0,89632.0,70884.0,18748.0,62093.0
1964-03-31,671149.0,400121.0,206648.0,57995.0,148653.0,193473.0,110473.0,105349.0,69112.0,22425.0,37146.0,9541.0,36237.0,5124.0,7263.0,34241.0,26148.0,8093.0,26978.0,18344.0,8634.0,153292.0,90048.0,70380.0,19668.0,63244.0
1964-06-30,680757.0,408085.0,210932.0,59477.0,151455.0,197153.0,110522.0,106066.0,71078.0,23450.0,37940.0,9688.0,34988.0,4456.0,7070.0,34796.0,26034.0,8762.0,27726.0,19080.0,8646.0,155080.0,90100.0,69372.0,20728.0,64980.0
1964-09-30,692807.0,416985.0,216253.0,61376.0,154877.0,200732.0,112631.0,107939.0,73406.0,24250.0,39264.0,9892.0,34533.0,4692.0,6377.0,34806.0,26988.0,7818.0,28429.0,19720.0,8709.0,156814.0,90828.0,70156.0,20672.0,65986.0
1964-12-31,698424.0,419574.0,215176.0,59377.0,155799.0,204398.0,114982.0,109966.0,75322.0,24823.0,40390.0,10109.0,34644.0,5016.0,6948.0,36233.0,27898.0,8335.0,29285.0,20424.0,8861.0,156920.0,89916.0,68988.0,20928.0,67004.0
1965-03-31,719248.0,430289.0,222675.0,64915.0,157760.0,207614.0,126538.0,114994.0,80226.0,26142.0,43542.0,10542.0,34768.0,11544.0,4601.0,33058.0,24484.0,8574.0,28457.0,19552.0,8905.0,157820.0,89440.0,68016.0,21424.0,68380.0
1965-06-30,732369.0,437240.0,225584.0,64817.0,160767.0,211656.0,127048.0,118480.0,83378.0,28166.0,44296.0,10916.0,35102.0,8568.0,7457.0,39136.0,28980.0,10156.0,31679.0,22436.0,9243.0,160624.0,90064.0,68164.0,21900.0,70560.0
1965-09-30,750184.0,446422.0,230768.0,66700.0,164068.0,215654.0,131236.0,121944.0,86686.0,28535.0,46825.0,11326.0,35258.0,9292.0,4901.0,36931.0,28116.0,8815.0,32030.0,22808.0,9222.0,167625.0,94440.0,71156.0,23284.0,73185.0
1965-12-31,773104.0,460373.0,239672.0,69128.0,170544.0,220701.0,133750.0,126166.0,90643.0,30442.0,48457.0,11744.0,35523.0,7584.0,5512.0,39460.0,30314.0,9146.0,33948.0,24192.0,9756.0,173469.0,98652.0,74964.0,23688.0,74817.0
1966-03-31,797328.0,470785.0,246405.0,72311.0,174094.0,224380.0,144197.0,130325.0,94379.0,31098.0,51069.0,12212.0,35946.0,13872.0,4417.0,39407.0,30658.0,8749.0,34990.0,24852.0,10138.0,177929.0,101176.0,77476.0,23700.0,76753.0
1966-06-30,807153.0,475855.0,246956.0,69720.0,177236.0,228899.0,143500.0,131184.0,96822.0,31172.0,53024.0,12626.0,34362.0,12316.0,5232.0,41472.0,30432.0,11040.0,36240.0,25612.0,10628.0,182566.0,103968.0,79136.0,24832.0,78598.0
1966-09-30,820798.0,484978.0,252094.0,72323.0,179771.0,232884.0,143191.0,131339.0,98321.0,31907.0,53418.0,12996.0,33018.0,11852.0,2205.0,40376.0,30974.0,9402.0,38171.0,27160.0,11011.0,190424.0,109896.0,85624.0,24272.0,80528.0
1966-12-31,834864.0,490763.0,253022.0,72626.0,180396.0,237741.0,145855.0,129351.0,99163.0,31217.0,54581.0,13365.0,30188.0,16504.0,3596.0,42425.0,32292.0,10133.0,38829.0,27712.0,11117.0,194650.0,111132.0,87660.0,23472.0,83518.0
1967-03-31,846046.0,495072.0,253480.0,71104.0,182376.0,241592.0,142809.0,127386.0,97997.0,31668.0,52712.0,13617.0,29389.0,15423.0,4563.0,43995.0,32889.0,11106.0,39432.0,27704.0,11728.0,203602.0,117892.0,92212.0,25680.0,85710.0
1967-06-30,851058.0,504197.0,258504.0,74482.0,184022.0,245693.0,137493.0,131152.0,98295.0,30934.0,53577.0,13784.0,32857.0,6341.0,4520.0,43540.0,32647.0,10893.0,39020.0,26796.0,12224.0,204848.0,117880.0,93492.0,24388.0,86968.0
1967-09-30,866614.0,511436.0,260475.0,74698.0,185777.0,250961.0,142836.0,133573.0,98787.0,31476.0,53193.0,14118.0,34786.0,9263.0,2896.0,42439.0,31954.0,10485.0,39543.0,27012.0,12531.0,209446.0,120916.0,96656.0,24260.0,88530.0
1967-12-31,883201.0,518941.0,263505.0,75641.0,187864.0,255436.0,147654.0,139221.0,101745.0,31966.0,55286.0,14493.0,37476.0,8433.0,2239.0,43892.0,32697.0,11195.0,41653.0,29532.0,12121.0,214367.0,123148.0,97748.0,25400.0,91219.0
1968-03-31,911135.0,536864.0,274392.0,80858.0,193534.0,262472.0,152288.0,143850.0,105582.0,33051.0,57601.0,14930.0,38268.0,8438.0,1099.0,45498.0,33966.0,11532.0,44399.0,32116.0,12283.0,220884.0,126348.0,100452.0,25896.0,94536.0
1968-06-30,936297.0,550592.0,280854.0,83084.0,197770.0,269738.0,158942.0,144860.0,105297.0,33184.0,56698.0,15415.0,39563.0,14082.0,1942.0,47358.0,35358.0,12000.0,45416.0,33152.0,12264.0,224821.0,127104.0,101512.0,25592.0,97717.0
1968-09-30,952347.0,566726.0,290386.0,87544.0,202842.0,276340.0,155684.0,148003.0,107609.0,33232.0,58582.0,15795.0,40394.0,7681.0,1288.0,49529.0,37106.0,12423.0,48241.0,35408.0,12833.0,228649.0,128516.0,101484.0,27032.0,100133.0
1968-12-31,970129.0,575628.0,292834.0,87826.0,205008.0,282794.0,160757.0,154750.0,112178.0,34762.0,61233.0,16183.0,42572.0,6007.0,1067.0,49238.0,36455.0,12783.0,48171.0,35108.0,13063.0,232677.0,129700.0,101976.0,27724.0,102977.0
1969-03-31,995419.0,587812.0,298845.0,90010.0,208835.0,288967.0,172388.0,160899.0,115993.0,35794.0,63690.0,16509.0,44906.0,11489.0,171.0,43974.0,32063.0,11911.0,43803.0,30772.0,13031.0,235048.0,129576.0,101276.0,28300.0,105472.0
1969-06-30,1011361.0,599170.0,302664.0,90448.0,212216.0,296506.0,172720.0,163498.0,118368.0,36671.0,64691.0,17006.0,45130.0,9222.0,1244.0,53915.0,40446.0,13469.0,52671.0,39116.0,13555.0,238227.0,129720.0,100852.0,28868.0,108507.0
1969-09-30,1032016.0,609487.0,306617.0,90629.0,215988.0,302870.0,177566.0,167372.0,122410.0,38931.0,66123.0,17356.0,44962.0,10194.0,976.0,53340.0,39960.0,13380.0,52364.0,38536.0,13828.0,243987.0,133344.0,103456.0,29888.0,110643.0
1969-12-31,1040741.0,621488.0,310588.0,90844.0,219744.0,310900.0,171577.0,165790.0,123287.0,39399.0,66150.0,17738.0,42503.0,5787.0,3333.0,56459.0,42508.0,13951.0,53126.0,38828.0,14298.0,244343.0,131944.0,102696.0,29248.0,112399.0
1970-03-31,1053528.0,632576.0,314093.0,89611.0,224482.0,318483.0,168113.0,166290.0,123797.0,39490.0,66401.0,17906.0,42493.0,1823.0,3396.0,56913.0,43416.0,13497.0,53517.0,39348.0,14169.0,249443.0,133504.0,102844.0,30660.0,115939.0
1970-06-30,1070110.0,642533.0,317558.0,91009.0,226549.0,324975.0,171453.0,166372.0,125007.0,40313.0,66748.0,17946.0,41365.0,5081.0,5385.0,60589.0,45576.0,15013.0,55204.0,40068.0,15136.0,250739.0,131700.0,99608.0,32092.0,119039.0
1970-09-30,1088461.0,654479.0,321724.0,92010.0,229714.0,332755.0,173902.0,168819.0,126253.0,40578.0,67661.0,18014.0,42566.0,5083.0,3843.0,60274.0,45274.0,15000.0,56431.0,41180.0,15251.0,256237.0,132320.0,99928.0,32392.0,123917.0
1970-12-31,1091462.0,661178.0,321802.0,87326.0,234476.0,339376.0,166752.0,170736.0,123518.0,40767.0,64834.0,17917.0,47218.0,-3984.0,3169.0,61058.0,45881.0,15177.0,57889.0,42824.0,15065.0,260363.0,133472.0,100472.0,33000.0,126891.0
1971-03-31,1137812.0,680203.0,333881.0,98053.0,235828.0,346322.0,189496.0,177242.0,126282.0,41504.0,66643.0,18135.0,50960.0,12254.0,4422.0,63074.0,46517.0,16557.0,58652.0,43376.0,15276.0,263691.0,133264.0,99456.0,33808.0,130427.0
1971-06-30,1159355.0,694251.0,339822.0,100989.0,238833.0,354429.0,197330.0,186455.0,129481.0,42335.0,68689.0,18457.0,56974.0,10875.0,-192.0,63103.0,46369.0,16734.0,63295.0,47440.0,15855.0,267966.0,134172.0,97828.0,36344.0,133794.0
1971-09-30,1180313.0,706654.0,343865.0,103442.0,240423.0,362789.0,202055.0,191867.0,131187.0,43118.0,69259.0,18810.0,60680.0,10188.0,-89.0,65393.0,49021.0,16372.0,65482.0,49640.0,15842.0,271693.0,135540.0,97436.0,38104.0,136153.0
