Date,TargetPeriod,Value,,
1/13/2017,2017Q1,2.07,,
1/20/2017,2017Q1,2.66,,
1/27/2017,2017Q1,2.66,,
2/3/2017,2017Q1,2.92,,
2/10/2017,2017Q1,3.07,,
2/17/2017,2017Q1,3.09,,
2/24/2017,2017Q1,3.12,,
3/3/2017,2017Q1,3.09,,
3/10/2017,2017Q1,3.19,,
3/17/2017,2017Q1,2.83,,
3/24/2017,2017Q1,2.96,,
3/31/2017,2017Q1,2.87,,
4/7/2017,2017Q1,2.82,,
4/14/2017,2017Q1,2.64,,
4/21/2017,2017Q1,2.65,,
4/28/2017,2017Q1,2.7,,
3/3/2017,2017Q2,2.91,,
3/10/2017,2017Q2,3,,
3/17/2017,2017Q2,2.53,,
3/24/2017,2017Q2,2.66,,
3/31/2017,2017Q2,2.58,,
4/7/2017,2017Q2,2.56,,
4/14/2017,2017Q2,2.09,,
4/21/2017,2017Q2,2.06,,
4/28/2017,2017Q2,2.33,,
5/5/2017,2017Q2,1.8,,
5/12/2017,2017Q2,1.88,,
5/19/2017,2017Q2,2.32,,
5/26/2017,2017Q2,2.17,,
6/2/2017,2017Q2,2.17,,
6/9/2017,2017Q2,2.25,,
6/16/2017,2017Q2,1.86,,
6/23/2017,2017Q2,1.88,,
6/30/2017,2017Q2,1.91,,
7/7/2017,2017Q2,1.96,,
7/14/2017,2017Q2,1.9,,
7/21/2017,2017Q2,2.04,,
7/28/2017,2017Q2,2.09,,
6/2/2017,2017Q3,1.82,,
6/9/2017,2017Q3,1.8,,
6/16/2017,2017Q3,1.54,,
6/23/2017,2017Q3,1.55,,
6/30/2017,2017Q3,1.61,,
7/7/2017,2017Q3,1.78,,
7/14/2017,2017Q3,1.84,,
7/21/2017,2017Q3,1.95,,
7/28/2017,2017Q3,1.92,,
8/4/2017,2017Q3,1.98,,
8/11/2017,2017Q3,1.96,,
8/18/2017,2017Q3,2.09,,
8/25/2017,2017Q3,1.93,,
9/1/2017,2017Q3,2.17,,
9/8/2017,2017Q3,2.06,,
9/15/2017,2017Q3,1.34,,
9/22/2017,2017Q3,1.56,,
9/29/2017,2017Q3,1.46,,
10/6/2017,2017Q3,1.53,,
10/13/2017,2017Q3,1.7,,
10/20/2017,2017Q3,-,,
10/27/2017,2017Q3,-,,
9/1/2017,2017Q4,2.72,,
9/8/2017,2017Q4,2.62,,
9/15/2017,2017Q4,1.82,,
9/22/2017,2017Q4,2.01,,
9/29/2017,2017Q4,1.95,,
10/6/2017,2017Q4,2.45,,
10/13/2017,2017Q4,2.91,,
10/20/2017,2017Q4,-,,
10/27/2017,2017Q4,-,,
11/3/2017,2017Q4,-,,
11/10/2017,2017Q4,-,,
11/17/2017,2017Q4,-,,
11/24/2017,2017Q4,-,,
12/1/2017,2017Q4,-,,
12/8/2017,2017Q4,-,,
12/15/2017,2017Q4,-,,
12/22/2017,2017Q4,-,,
12/29/2017,2017Q4,-,,
1/5/2018,2017Q4,-,,
1/12/2018,2017Q4,-,,
1/19/2018,2017Q4,-,,
1/26/2018,2017Q4,-,,
