Month,1-19,20-49,1-49,50-499,500+,500-999,"1,000+"
2008-01-31,4299.43613659,2930.90555649,7230.34169309,8410.86736774,6386.84099535,2269.97736235,4116.863633
2008-02-29,4270.86909863,2913.82932713,7184.69842576,8386.98051607,6362.7411242,2265.50911257,4097.23201162
2008-03-31,4245.05184707,2894.14913416,7139.20098123,8352.68841991,6328.11059886,2263.31240303,4064.79819583
2008-04-30,4220.24395799,2868.82304932,7089.06700731,8294.52464487,6262.48658787,2229.42770247,4033.0588854
2008-05-31,4183.90674223,2843.16269264,7027.06943486,8222.77215036,6208.23298129,2191.54480238,4016.68817891
2008-06-30,4162.33351492,2826.06462164,6988.39813656,8176.77056833,6151.51551088,2154.03828831,3997.47722256
2008-07-31,4139.48533927,2806.92887375,6946.41421302,8115.34704894,6088.44679226,2119.71962983,3968.72716243
2008-08-31,4118.74905329,2787.20392953,6905.95298282,8056.28973278,6024.0063729,2087.34823466,3936.65813824
2008-09-30,4106.82100466,2767.17990159,6874.00090625,7994.75613282,5978.35695326,2059.20153843,3919.15541483
2008-10-31,4058.42516343,2732.6595926,6791.08475603,7897.57522076,5914.14567713,2024.69920217,3889.44647495
2008-11-30,4017.22625678,2693.79448831,6711.02074509,7765.8651274,5829.57933711,1982.44725264,3847.13208447
2008-12-31,3987.95328857,2651.47251684,6639.4258054,7630.8709764,5745.33935982,1943.38623841,3801.95312141
2009-01-31,3964.81016685,2617.43056013,6582.24072698,7517.06509336,5685.88581732,1905.10559801,3780.78021931
2009-02-28,3924.19948764,2578.08786209,6502.28734973,7382.79580549,5596.83092167,1852.52930213,3744.30161954
2009-03-31,3893.42160995,2540.64008848,6434.06169843,7263.94399659,5528.99430498,1806.10828062,3722.88602436
2009-04-30,3866.72569634,2514.7284522,6381.45414854,7160.3729473,5468.56923848,1787.00438243,3681.56485605
2009-05-31,3843.8314222,2488.78705303,6332.61847523,7075.36231734,5412.66636456,1767.71785764,3644.94850692
2009-06-30,3822.63100317,2467.05096753,6289.6819707,6995.58930434,5357.43579316,1749.50154658,3607.93424658
2009-07-31,3798.55416918,2450.9752126,6249.52938178,6941.32304885,5309.13122691,1742.45414155,3566.67708536
2009-08-31,3778.38034255,2438.2842811,6216.66462365,6894.30945429,5265.80192641,1728.93977805,3536.86214836
2009-09-30,3771.13402584,2431.44363373,6202.57765957,6870.50678632,5229.98151826,1720.31422273,3509.66729552
2009-10-31,3739.94128299,2416.16379825,6156.10508123,6823.30257273,5196.13981402,1713.17888441,3482.96092961
2009-11-30,3715.15649449,2402.01837091,6117.1748654,6776.95380751,5154.65653859,1704.6303678,3450.02617079
2009-12-31,3703.22332819,2396.71942662,6099.94275481,6728.29325106,5125.09434547,1698.17596524,3426.91838023
2010-01-31,3666.54137441,2380.69000866,6047.23138307,6697.73681759,5096.5927254,1688.33700934,3408.25571606
2010-02-28,3632.71822923,2358.91531258,5991.63354181,6657.23801622,5068.17891018,1681.19515301,3386.98375717
2010-03-31,3627.8857456,2359.20760252,5987.09334812,6638.45779271,5046.44885916,1681.20219314,3365.24666603
2010-04-30,3637.5201717,2366.15953934,6003.67971104,6651.94427399,5068.84951557,1685.82438008,3383.02513549
2010-05-31,3619.757498,2362.95739216,5982.71489015,6652.40013678,5109.60221419,1687.54079498,3422.06141921
2010-06-30,3617.42516061,2363.27367796,5980.69883857,6667.49940578,5116.85085816,1695.96584036,3420.8850178
2010-07-31,3610.45213221,2361.15992267,5971.61205488,6669.3479654,5134.69332061,1701.36406939,3433.32925122
2010-08-31,3614.46168175,2366.05340843,5980.51509018,6684.22659753,5129.13798179,1704.27964736,3424.85833442
2010-09-30,3607.79741809,2360.44197413,5968.23939222,6681.17427886,5137.73072096,1711.16247648,3426.56824448
2010-10-31,3608.32773161,2357.99988052,5966.32761213,6684.1623276,5146.44707826,1716.17325184,3430.27382642
2010-11-30,3604.77824725,2361.06812365,5965.8463709,6688.6793132,5157.65431961,1722.57148674,3435.08283287
2010-12-31,3591.27699379,2356.67135449,5947.94834828,6689.71393776,5166.6476644,1727.73898057,3438.90868383
2011-01-31,3577.76646712,2351.64035401,5929.40682113,6708.07421986,5165.80739256,1731.5022475,3434.30514506
2011-02-28,3582.59669136,2355.34085245,5937.93754381,6727.63290695,5180.1768845,1743.17509532,3437.00178917
2011-03-31,3594.7713461,2363.33839423,5958.10974033,6739.96576875,5207.92449091,1751.63728041,3456.2872105
2011-04-30,3599.16905412,2364.48771709,5963.65677121,6764.76732424,5231.79304517,1761.07341838,3470.71962679
2011-05-31,3612.83538912,2374.02128917,5986.85667829,6793.03515483,5246.05145265,1772.35465112,3473.69680153
2011-06-30,3617.21306315,2377.29774511,5994.51080826,6794.02422246,5279.29785315,1779.08543334,3500.21241981
2011-07-31,3621.15149596,2378.53224728,5999.68374323,6804.21283029,5300.46337608,1782.07120729,3518.39216879
2011-08-31,3631.07553645,2385.26773163,6016.34326808,6818.96050173,5319.61994433,1788.95262922,3530.66731511
2011-09-30,3633.87436691,2389.3687418,6023.24310871,6838.80330294,5336.68765726,1796.8073223,3539.88033495
2011-10-31,3622.37570485,2385.37904552,6007.75475037,6839.81726669,5348.38575712,1803.08845807,3545.29729905
2011-11-30,3617.61778249,2380.74752961,5998.3653121,6841.64861886,5354.52328933,1805.67766591,3548.84562342
2011-12-31,3618.56145806,2384.1728914,6002.73434947,6858.03189952,5378.68047285,1817.55020047,3561.13027237
2012-01-31,3627.89301443,2388.66178208,6016.55479651,6869.49125775,5398.20333188,1829.04637763,3569.15695425
2012-02-29,3630.51096071,2395.27979131,6025.79075203,6889.9745905,5411.95665689,1836.49065194,3575.46600495
2012-03-31,3633.59815236,2399.50076935,6033.09892171,6905.79348376,5433.10759453,1842.07493507,3591.03265946
2012-04-30,3624.49733233,2404.75885825,6029.25619058,6915.99157171,5436.88600521,1839.7597023,3597.12630291
2012-05-31,3620.08008818,2405.50532822,6025.5854164,6925.46031569,5439.32077183,1837.40055565,3601.92021618
2012-06-30,3619.43519578,2408.02592578,6027.46112156,6928.29435219,5450.12833776,1831.31688632,3618.81145144
2012-07-31,3619.23396546,2410.07164494,6029.3056104,6944.16864983,5451.97215942,1831.72584898,3620.24631044
2012-08-31,3619.4825508,2415.00570745,6034.48825825,6966.2716823,5450.0125441,1830.63415982,3619.37838428
2012-09-30,3606.86235394,2416.2324301,6023.09478404,6975.05551616,5435.82652601,1827.45474922,3608.37177679
2012-10-31,3613.56334348,2423.34083707,6036.90418055,6999.26172004,5429.01608366,1825.40995493,3603.60612873
2012-11-30,3614.27444153,2424.77084554,6039.04528707,7013.80566799,5422.54032544,1821.65885439,3600.88147105
2012-12-31,3630.8319655,2437.69261892,6068.52458443,7050.11683089,5425.03236195,1819.87846007,3605.15390189
2013-01-31,3635.02614143,2444.57889788,6079.60503931,7058.58191609,5438.26540097,1822.6655143,3615.59988667
2013-02-28,3649.44049191,2454.24575839,6103.68625029,7083.88521652,5435.55290071,1826.02388797,3609.52901274
2013-03-31,3653.60514417,2464.02960413,6117.6347483,7109.53962388,5440.82562782,1828.72200565,3612.10362217
2013-04-30,3642.85657264,2459.40341847,6102.25999111,7107.98258566,5432.79146898,1831.17270226,3601.61876672
2013-05-31,3646.0270704,2462.52240407,6108.54947448,7113.41684076,5436.58241254,1832.60425883,3603.97815371
2013-06-30,3657.50657044,2473.54487881,6131.05144926,7131.70293561,5461.58698146,1836.48676009,3625.10022137
2013-07-31,3654.34661841,2471.7205976,6126.06721601,7131.92295597,5461.90103417,1834.76277918,3627.13825499
2013-08-31,3660.31170684,2481.22370994,6141.53541678,7151.10686735,5469.03208462,1841.47496459,3627.55712003
2013-09-30,3672.89329827,2490.7616337,6163.65493197,7174.67105277,5478.07323938,1845.98140487,3632.09183451
2013-10-31,3673.79456204,2496.37930236,6170.1738644,7185.84129677,5484.91112033,1849.33799357,3635.57312676
2013-11-30,3680.7402916,2505.04313997,6185.78343157,7208.03505164,5493.38338123,1853.16791102,3640.21547021
2013-12-31,3674.28822845,2507.83842089,6182.12664934,7229.20983934,5491.46664408,1857.49949529,3633.9671488
2014-01-31,3694.69592985,2527.72228102,6222.41821087,7267.20254548,5479.60273284,1871.27409237,3608.32864046
2014-02-28,3705.99889424,2535.12098139,6241.11987563,7287.64693635,5496.2875015,1875.29838773,3620.98911377
2014-03-31,3707.46124129,2534.33913607,6241.80037736,7303.49018908,5506.70943356,1881.04575619,3625.66367737
2014-04-30,3716.14258305,2544.85471157,6260.99729462,7333.54450462,5517.62771611,1885.31863257,3632.30908354
2014-05-31,3720.09233908,2548.54743181,6268.63977089,7348.57133248,5513.66612913,1885.69304551,3627.97308362
2014-06-30,3721.74610853,2555.34703982,6277.09314835,7375.10996767,5518.70465517,1890.24723354,3628.45742163
2014-07-31,3738.43737885,2569.67233254,6308.10971138,7407.51361271,5531.13561057,1895.56250732,3635.57310325
2014-08-31,3748.58096142,2573.06216343,6321.64312485,7425.20370319,5542.54259282,1897.68838208,3644.85421074
2014-09-30,3749.43498261,2578.84519351,6328.28017612,7430.24801153,5577.70335263,1899.92136012,3677.78199251
2014-10-31,3746.13550332,2582.60418225,6328.73968557,7456.76701467,5588.18297565,1905.26838075,3682.9145949
2014-11-30,3746.51179877,2588.89910131,6335.41090008,7474.82135694,5598.53193693,1911.98175523,3686.5501817
2014-12-31,3755.82053861,2603.17884355,6358.99938216,7498.30682501,5603.29032955,1913.13086182,3690.15946773
2015-01-31,3766.81774726,2611.58958448,6378.40733174,7533.37487353,5586.97235646,1912.04673529,3674.92562117
2015-02-28,3774.24425146,2620.3921477,6394.63639915,7540.12639315,5589.50359353,1911.11368357,3678.38990996
2015-03-31,3771.17285205,2621.61696734,6392.78981939,7550.24346017,5586.96672044,1910.7525361,3676.21418434
2015-04-30,3785.69427924,2628.89755662,6414.59183586,7558.41565148,5579.37509107,1911.94478396,3667.43030711
2015-05-31,3790.42927056,2635.73724015,6426.16651071,7562.76202639,5573.3158547,1909.60322643,3663.71262827
2015-06-30,3804.69677362,2641.82554027,6446.5223139,7569.72831321,5569.64279598,1913.41964892,3656.22314706
2015-07-31,3810.74965145,2649.308489,6460.05814045,7580.50134642,5577.0008457,1920.80828711,3656.19255859
2015-08-31,3812.62321887,2656.42227417,6469.04549305,7583.98074972,5582.49436759,1923.10775215,3659.38661544
2015-09-30,3806.17076389,2652.77373214,6458.94449603,7574.56574313,5602.43150051,1917.37040888,3685.06109163
2015-10-31,3812.03329394,2657.18242947,6469.21572341,7578.62318111,5603.2387382,1917.68904822,3685.54968998
2015-11-30,3819.4346815,2660.89513887,6480.32982037,7576.92939717,5609.23775674,1920.78141805,3688.45633869
2015-12-31,3834.87607336,2672.47853156,6507.35460491,7586.68277772,5615.72148646,1927.34550902,3688.37597744
2016-01-31,3840.66690836,2679.75541803,6520.42232639,7610.15228432,5592.48786612,1935.76546754,3656.72239858
2016-02-29,3837.38506874,2680.30200797,6517.68707671,7606.56388143,5595.71919845,1939.07128583,3656.64791262
2016-03-31,3851.55831052,2690.33403026,6541.89234078,7616.55946933,5593.54818988,1943.55512291,3649.99306698
2016-04-30,3855.73614476,2693.07110998,6548.80725475,7608.61550726,5602.19508316,1950.51402666,3651.6810565
2016-05-31,3847.52534414,2689.8610999,6537.38644405,7604.34756376,5592.39838136,1947.25888909,3645.13949227
2016-06-30,3851.66300736,2694.18796828,6545.85097564,7605.97858808,5594.10586941,1949.61552179,3644.49034761
2016-07-31,3858.94917417,2699.42842639,6558.37760056,7615.7714299,5595.93271803,1955.98296973,3639.94974831
2016-08-31,3853.7990972,2694.54882156,6548.34791876,7605.53875305,5588.55399879,1954.89499318,3633.65900561
2016-09-30,3854.41009114,2693.50984315,6547.91993429,7607.31762537,5619.12409107,1955.58400795,3663.54008312
2016-10-31,3845.94441542,2692.04257561,6537.98699104,7599.3000124,5622.21759073,1958.85841862,3663.35917211
2016-11-30,3843.68568466,2689.51031622,6533.19600088,7615.25087388,5617.98856284,1960.50550474,3657.4830581
2016-12-31,3844.96932085,2694.14938551,6539.11870635,7638.67992538,5617.3231851,1963.64057553,3653.68260957
2017-01-31,3858.4688369,2706.84912756,6565.31796446,7673.54558128,5638.35773203,1972.23726778,3666.12046425
2017-02-28,3879.07193331,2724.94323669,6604.01517,7721.91064032,5653.01597036,1981.77179748,3671.24417288
2017-03-31,3891.98351951,2740.45906422,6632.44258373,7752.69158161,5672.70316886,1988.84675594,3683.85641292
2017-04-30,3876.12357097,2736.04240509,6612.16597606,7763.42771928,5682.02938738,1990.31363905,3691.71574834
2017-05-31,3879.3611072,2736.59512775,6615.95623495,7782.0084149,5686.66587871,1997.97348949,3688.69238922
2017-06-30,3879.02121607,2737.44296123,6616.4641773,7798.61162577,5686.8205998,2002.42891782,3684.39168198
2017-07-31,3884.04775341,2735.24943119,6619.29718459,7810.43677202,5683.41650757,2007.79167385,3675.62483372
2017-08-31,3888.49711187,2740.06490203,6628.5620139,7823.25053997,5694.31055207,2010.26234118,3684.04821089
